Other_Seal_ID,Well_Report_ID,Other_Seal_Type,From,To,At
32367,12043997,Drive Shoe,null,null,87
32368,12044010,Welded Ring,null,null,100
32369,12044013,Formation Packer,null,null,164
32370,12044013,Driven,null,null,60
32371,12044013,Drive Shoe,null,null,60
32372,12044014,Drive Shoe,null,null,140
32373,12044014,K-Packer,null,null,137
32374,12044017,Drive Shoe,null,null,66
32375,12044017,K-Packer,null,null,63
32376,12044018,Drive Shoe,null,null,132.5
32377,12044019,Driven,null,null,105
32378,12044019,Drive Shoe,null,null,105
32379,12044022,Drive Shoe,null,null,47
32380,12044023,Drive Shoe,null,null,98
32381,12044024,Drive Shoe,null,null,58
32382,12044025,Shale Trap,null,null,161
32383,12044025,Drive Shoe,null,null,78
32384,12044026,Drive Shoe,null,null,57
32385,12044027,Drive Shoe,null,null,57
32386,12044028,Drive Shoe,null,null,80
32387,12044029,Drive Shoe,null,null,58
32388,12044030,Shale Trap,null,null,98
32389,12044032,Drive Shoe,null,null,51
32390,12044036,Shale Trap,null,null,89
32391,12044037,Formation Packer,null,null,90
32392,12044037,Drive Shoe,null,null,60
32393,12044049,Shale Trap,null,null,155
32394,12044050,Shale Trap,null,null,117
32395,12044060,Drive Shoe,null,null,142
32396,12044060,Shale Trap,null,null,141.6
32397,12044066,Shale Trap,null,null,103
32398,12044067,Driven,null,null,42
32399,12044068,Driven,null,null,55
32400,12044069,Shale Trap,null,null,190
32401,12044069,Drive Shoe,null,null,13
32402,12044069,Driven,null,null,13
32403,12044071,Shale Trap,null,null,75
32404,12044072,Drive Shoe,null,null,59
32405,12044072,Shale Trap,null,null,58
32406,12044074,Shale Trap,null,null,60
32407,12044076,Drive Shoe,null,null,141
32408,12044084,Drive Shoe,null,null,170
32409,12044086,Driven,null,null,76
32410,12044086,K-Packer,null,null,69
32411,12044089,Drive Shoe,null,null,58
32412,12044089,Driven,null,null,58
32413,12044090,Drive Shoe,null,null,38
32414,12044090,Driven,null,null,38
32415,12044094,Drive Shoe,null,null,58
32416,12044095,Drive Shoe,null,null,138
32417,12044097,Drive Shoe,null,null,100
32418,12044098,Drive Shoe,null,null,58
32419,12044099,Drive Shoe,null,null,58
32420,12044101,Shale Trap,null,null,50
32421,12044101,Drive Shoe,null,null,46
32422,12044102,Drive Shoe,null,null,48
32423,12044103,Drive Shoe,null,null,58
32424,12044104,Shale Trap,null,null,80
32425,12044104,Drive Shoe,null,null,78
32426,12044110,Shale Trap,null,null,76
32427,12044110,Shale Trap,null,null,72.5
32428,12044110,Welded Ring,null,null,40
32429,12044113,Shale Trap,null,null,96
32430,12044118,Drive Shoe,null,null,96
32431,12044118,Driven,null,null,96
32432,12044124,Drive Shoe,null,null,108
32433,12044125,Drive Shoe,null,null,43
32434,12044125,Driven,null,null,43
32435,12044126,K-Packer,null,null,119
32436,12044126,K-Packer,null,null,118
32437,12044126,Driven,null,null,100
32438,12044126,K-Packer,null,null,90
32439,12044127,Shale Trap,null,null,77
32440,12044128,Driven,null,null,100
32441,12044128,Drive Shoe,null,null,100
32442,12044129,Drive Shoe,null,null,113.4
32443,12044129,Shale Trap,null,null,112.1
32444,12044131,Shale Trap,null,null,61
32445,12044130,Driven,null,null,335.5
32446,12044130,Drive Shoe,null,null,335.5
32447,12044130,Drive Shoe,null,null,36.5
32448,12044130,Driven,null,null,36.5
32449,12044132,Shale Trap,null,null,41
32450,12044133,Shale Trap,null,null,82
32451,12044134,Shale Trap,null,null,118
32452,12044147,Shale Trap,null,null,212
32453,12044151,Shale Trap,null,null,37
32454,12044152,Shale Trap,null,null,18
32455,12044153,Driven,null,null,137
32456,12044153,Drive Shoe,null,null,134
32457,12044153,K-Packer,null,null,123
32458,12044159,Driven,null,null,18
32459,12044166,Drive Shoe,null,null,52.5
32460,12044166,Driven,null,null,52
32461,12044168,Drive Shoe,null,null,197
32462,12044168,K-Packer,null,null,191
32463,12044174,Drive Shoe,null,null,166
32464,12044174,K-Packer,null,null,163
32465,12044176,Drive Shoe,null,null,137
32466,12044176,K-Packer,null,null,133
32467,12044177,Shale Trap,null,null,127
32468,12044178,Shale Trap,null,null,97.5
