Drilling_Company_ID,Driller_ID,Effective_Date,Is_Active_Flag
1,2533726,2009-12-16T19:11:01.440Z,true
1,10819289,2009-12-16T19:11:01.440Z,false
1,11306465,2009-12-16T19:11:01.440Z,true
3,2533726,2009-12-16T19:11:01.440Z,true
4,2533726,2009-12-16T19:11:01.440Z,true
6,2533726,2009-12-16T19:11:01.440Z,true
9,2533726,2009-12-16T19:11:01.440Z,true
10,2533726,2009-12-16T19:11:01.440Z,true
11,2533726,2009-12-16T19:11:01.440Z,true
12,2533726,2009-12-16T19:11:01.440Z,true
13,2533726,2009-12-16T19:11:01.440Z,true
13,10787033,2009-12-16T19:11:01.440Z,true
14,2533726,2009-12-16T19:11:01.440Z,true
15,2533726,2009-12-16T19:11:01.440Z,true
16,2533726,2009-12-16T19:11:01.440Z,true
17,2533726,2009-12-16T19:11:01.440Z,true
18,2533726,2009-12-16T19:11:01.440Z,true
19,2533726,2009-12-16T19:11:01.440Z,true
20,2533726,2009-12-16T19:11:01.440Z,true
22,2533726,2009-12-16T19:11:01.440Z,true
23,2533726,2009-12-16T19:11:01.440Z,true
24,2533726,2009-12-16T19:11:01.440Z,true
25,2533726,2009-12-16T19:11:01.440Z,true
26,2533726,2009-12-16T19:11:01.440Z,true
27,2533726,2009-12-16T19:11:01.440Z,true
28,2533726,2009-12-16T19:11:01.440Z,true
29,2533726,2009-12-16T19:11:01.440Z,true
30,2533726,2009-12-16T19:11:01.440Z,true
31,2533726,2009-12-16T19:11:01.440Z,true
32,2533726,2009-12-16T19:11:01.440Z,true
34,2533726,2009-12-16T19:11:01.440Z,true
35,2533726,2009-12-16T19:11:01.440Z,true
36,2533726,2009-12-16T19:11:01.440Z,true
37,2533726,2009-12-16T19:11:01.440Z,true
38,2533726,2009-12-16T19:11:01.440Z,true
39,2533726,2009-12-16T19:11:01.440Z,true
40,2533726,2009-12-16T19:11:01.440Z,true
42,2533726,2009-12-16T19:11:01.440Z,true
43,2533726,2009-12-16T19:11:01.440Z,true
46,2533726,2009-12-16T19:11:01.440Z,true
47,2533726,2009-12-16T19:11:01.440Z,true
48,2533726,2009-12-16T19:11:01.440Z,true
49,2533726,2009-12-16T19:11:01.440Z,true
51,2533726,2009-12-16T19:11:01.440Z,true
52,2533726,2009-12-16T19:11:01.440Z,true
55,2533726,2009-12-16T19:11:01.440Z,true
57,2533726,2009-12-16T19:11:01.440Z,true
58,2533726,2009-12-16T19:11:01.440Z,true
61,2533726,2009-12-16T19:11:01.440Z,true
63,2533726,2009-12-16T19:11:01.440Z,true
67,2533726,2009-12-16T19:11:01.440Z,true
69,2533726,2009-12-16T19:11:01.440Z,true
70,2533726,2009-12-16T19:11:01.440Z,true
74,2533726,2009-12-16T19:11:01.440Z,true
78,2533726,2009-12-16T19:11:01.440Z,true
80,2533726,2009-12-16T19:11:01.440Z,true
81,2533726,2009-12-16T19:11:01.440Z,true
82,2533726,2009-12-16T19:11:01.440Z,true
85,2533726,2009-12-16T19:11:01.440Z,true
86,2533726,2009-12-16T19:11:01.440Z,true
87,2533726,2009-12-16T19:11:01.440Z,true
89,2533726,2009-12-16T19:11:01.440Z,true
91,2533726,2009-12-16T19:11:01.440Z,true
92,2533726,2009-12-16T19:11:01.440Z,true
94,2533726,2009-12-16T19:11:01.440Z,true
95,2533726,2009-12-16T19:11:01.440Z,true
98,2533726,2009-12-16T19:11:01.440Z,true
99,2533726,2009-12-16T19:11:01.440Z,true
100,2533726,2009-12-16T19:11:01.440Z,true
103,2533726,2009-12-16T19:11:01.440Z,true
105,2533726,2009-12-16T19:11:01.440Z,true
106,2533726,2009-12-16T19:11:01.440Z,true
107,2533726,2009-12-16T19:11:01.440Z,true
109,2533726,2009-12-16T19:11:01.440Z,true
111,2533726,2009-12-16T19:11:01.440Z,true
112,2533726,2009-12-16T19:11:01.440Z,true
117,2533726,2009-12-16T19:11:01.440Z,true
119,2533726,2009-12-16T19:11:01.440Z,true
120,2533726,2009-12-16T19:11:01.440Z,true
