FIELD_PERSONNEL_ID,WELL_TEST_ID,YIELD_TESTER_COY,APEGA_OVERSEER_COY,LEAD_SAMPLER_COY,CREATE_TIMESTAMP,CREATE_USERID
1085549,2237,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085551,2407,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085553,2238,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085555,141,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085557,1766,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085559,933,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085561,4195,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085563,2290,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085565,237,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085567,531,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085569,4196,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085571,1325,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085573,96,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085575,142,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085577,1186,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085579,1767,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085581,1768,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085583,788,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085585,1032,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085587,2291,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085589,143,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085591,2239,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085593,97,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085595,1522,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085597,2340,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085599,190,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085601,882,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085603,29,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085605,581,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085607,1769,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085609,631,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085611,144,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085613,682,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085615,1770,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085617,238,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085619,789,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085621,632,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085623,1326,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085625,2292,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085627,1622,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085629,191,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085631,2240,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085633,1909,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085635,2241,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085637,739,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085639,1327,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085641,239,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085643,1523,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085645,4197,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085647,484,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085649,1187,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085651,98,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085653,532,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085655,30,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085657,1910,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085659,1911,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085661,192,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085663,1328,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085665,740,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085667,2242,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085669,1329,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085671,145,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085673,485,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085675,1524,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085677,683,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085679,533,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085681,240,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085683,241,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085685,4198,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085687,31,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085689,287,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085691,633,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085693,1623,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085695,884,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085697,635,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085699,2294,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085701,2243,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085703,2295,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085705,684,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085707,1913,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085709,288,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085711,1331,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085713,685,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085715,2296,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085717,1624,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085719,686,null,Matrix Solutions Inc.,Matrix Solutions Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085721,741,null,Meridian Environmental Inc.,Meridian Environmental Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085723,289,null,Meridian Environmental Inc.,Meridian Environmental Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085725,290,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085727,886,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085729,934,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085731,4199,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085733,4200,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085735,1188,null,Thomson Hydrogeologic Ltd.,Thomson Hydrogeologic Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085737,1914,null,Thomson Hydrogeologic Ltd.,Signum Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085739,1189,null,Thomson Hydrogeologic Ltd.,Signum Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085741,1717,null,Thomson Hydrogeologic Ltd.,Signum Consulting Ltd.,2011-10-20T10:38:47.710Z,CONVERSION
1085743,1332,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085747,4201,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085749,1915,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085751,582,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
1085753,2341,Baseline Water Resource Inc.,Baseline Water Resource Inc.,Baseline Water Resource Inc.,2011-10-20T10:38:47.710Z,CONVERSION
