FIELD_PERSONNEL_ID,WELL_TEST_ID,YIELD_TESTER_COY,APEGA_OVERSEER_COY,LEAD_SAMPLER_COY,CREATE_TIMESTAMP,CREATE_USERID
1085037,1195,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085039,41,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085041,198,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085043,941,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085045,1923,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085047,643,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085049,1571,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085051,542,M & M Drilling Co. Ltd.,WorleyParsons Komex,WorleyParsons Komex,2011-10-20T10:38:47.710Z,CONVERSION
1085053,2357,M & M Drilling Co. Ltd.,Matrix Solutions Inc.,null,2011-10-20T10:38:47.710Z,CONVERSION
1085055,5847,null,Waterline Resources Inc.,Waterline Resources Inc.,2011-10-20T10:38:47.710Z,CONVERSION
