WELL_MEASURES_ID,WELL_TEST_ID,WELL_COMPLETION_INTERVAL,CURRENT_WELL_USE,WELL_DEPTH,WELL_DEPTH_TEXT,WELL_COMPLETION_UNIT,DEPTH_UNIT,WELL_IN_PIT,CREATE_TIMESTAMP,CREATE_USERID
1179449,163,39.62 tp 45.72 m,Domestic,45.72,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179451,1000,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179453,2383,18.29 - 21.64 m,Domestic,21.64,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179455,1001,null,Domestic,18.29,null,null,metres,Yes,2011-10-20T10:38:47.710Z,CONVERSION
1179457,606,36.57 - 42.67 m,Domestic,42.67,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179459,806,null,Domestic,33.5,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179461,607,43.3 to 48.8 m,Domestic,49.01,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179463,2317,43.59-48.77,Domestic,48.77,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179465,507,27.43 to 30.48 m,Domestic,31.39,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179467,1002,64.01 to 73.15 m,Domestic,73.15,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179469,265,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179471,371,null,Agricultural,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179473,1003,null,Domestic,47.24,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179475,372,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179477,857,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179479,450,null,Domestic/Stock,94.49,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179481,70,21.34 to 33.53 m,Domestic,33.53,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179483,413,18.29m - 24.38m,Domestic,106.63,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179485,2220,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179487,2274,null,Domestic,24.38,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179489,2318,null,Domestic,null,null,null,null,null,2011-10-20T10:38:47.710Z,CONVERSION
1179491,321,20.73 to 23.16 m,Agricultural,23.16,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
1179493,560,64.01 - 70.1,Domestic,72.24,null,null,metres,null,2011-10-20T10:38:47.710Z,CONVERSION
