WELL_ID,GOA_WELL_ID,WELL_GIC_ID,WELL_GIC_ID_TEXT,LATTITUDE,LONGITUDE,LSD,SECTION,QTR,TOWNSHIP,RANGE,MERIDIAN,YEAR_WELL_DRILLED,YEAR_WELL_DRILLED_TEXT,WELL_LOCATION,LEGAL_LAND_LOCATION,ELEVATION,ELEVATION_UNITS,CREATE_TIMESTAMP,CREATE_USERID
3599,null,null,null,52.940929,-113.701639,null,3,NW,46,26,4,null,null,30m East of house,NW-03-046-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3600,null,null,null,52.856433,-113.804539,null,2,NE,45,27,4,null,null,400 m north of house (in pump house),NE-02-045-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3601,null,null,null,52.900066,-113.678692,null,23,NW,45,26,4,null,null,in pumphouse 14 m from SE corner of house,NW-23-045-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3602,null,null,null,52.975202,-113.698712,null,22,SW,46,26,4,null,null,Main stock well,SW-22-046-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3603,null,null,null,52.889821,-113.70778,null,21,SE,45,26,4,null,null,50 m north of house,SE-21-045-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3604,null,null,null,52.876092,-113.795158,null,13,SW,45,27,4,1946,null,in house,SW-13-045-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3605,null,null,null,52.073816,-112.740074,5,12,SW,36,20,4,null,null,null,5-12-036-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3606,null,null,null,51.060853,-113.564473,null,21,NE,24,26,4,null,null,"in field, approx. 75 m west of road",NE-21-024-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3607,null,null,null,51.110897,-113.610794,null,7,SE,25,26,4,null,null,south of silos,SE-07-025-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3608,null,null,null,51.068637,-113.564303,null,28,SE,24,26,4,null,null,"northwest of shed, north of barn",SE-28-024-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3609,null,null,null,52.203254,-112.789879,null,27,SW,37,20,4,1977,null,West side of house,SW-27-037-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3610,null,null,null,51.863862,-113.223441,15,29,NE,33,23,4,null,null,null,15-29-033-23-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3611,null,251383,null,51.295721,-113.780511,null,7,NE,27,27,4,1983,null,south side of house,NE-07-027-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3612,null,286300,null,51.08333,-113.519407,null,35,SE,24,26,4,1996,null,null,SE-35-024-26-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3613,null,258281,null,51.299902,-113.781324,null,18,SE,27,27,4,1995,null,north of house,SE-18-027-27-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3614,null,null,null,52.970661,-113.940213,13,13,NW,46,28,4,null,null,null,13-13-046-28-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3615,null,null,null,52.970661,-113.940213,13,13,NW,46,28,4,null,null,null,13-13-046-28-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3616,null,null,null,52.417725,-113.402566,16,5,NE,40,24,4,null,null,null,16-05-040-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3617,null,null,null,52.42314,-113.417487,null,8,SE,40,24,4,null,null,null,SE-08-040-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3618,null,null,null,52.027707,-112.746082,1,26,SE,35,20,4,null,null,5 m north of brown house,1-26-035-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3619,null,null,null,50.949719,-113.403874,null,10,NE,23,25,4,null,null,in pit in pumphouse 10m SE of house,NE-10-023-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3620,null,null,null,52.445081,-113.345414,null,14,NE,40,24,4,null,null,null,NE-14-040-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3621,null,null,null,52.445081,-113.345414,null,14,NE,40,24,4,null,null,null,NE-14-040-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3622,null,null,null,52.386938,-113.345473,9,26,NE,39,24,4,null,null,null,9-26-039-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3623,null,null,null,51.330633,-113.777269,4,29,SW,27,27,4,null,null,north of house,4-29-027-27-W4,null,metres,2011-10-20T10:38:47.000Z,CONVERSION
3624,null,240476,null,51.921897,-112.833831,null,18,NW,34,20,4,1989,null,Well is located in the middle of NW of sec 18,NW-18-034-20-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3625,null,135921,null,51.91714,-112.958122,null,18,SE,34,21,4,1987,null,barn well,SE-18-034-21-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3626,null,166932,null,52.609094,-113.489405,1,14,SE,42,25,4,1990,null,"on lawn beside house, 7.6 m SE of house",1-14-042-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3627,null,null,null,52.575768,-113.321534,null,36,NE,41,24,4,null,null,"In woods to south of house, on slope with grassy pasture above",NE-36-041-24-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3628,null,null,null,52.607159,-113.501393,null,11,NW,42,25,4,null,null,null,NW-11-042-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
3629,null,94170,null,52.666011,-113.506203,null,35,NW,42,25,4,1974,null,in pit 100m south of home,NW-35-042-25-W4,null,metres,2011-10-20T10:38:47.710Z,CONVERSION
